Easting,Northing,Sonde,DyeConc,UTCtimeStamp
543208.5,5403971,1A,0.11,9/26/2017 17:32:29
543208.5,5403971,1A,0.1,9/26/2017 17:32:59
543208.5,5403971,1A,0.1,9/26/2017 17:33:29
543208.5,5403971,1A,0.1,9/26/2017 17:33:59
543208.5,5403971,1A,0.1,9/26/2017 17:34:29
543208.5,5403971,1A,0.1,9/26/2017 17:34:59
543208.5,5403971,1A,0.1,9/26/2017 17:35:29
543208.5,5403971,1A,0.09,9/26/2017 17:35:59
543208.5,5403971,1A,0.11,9/26/2017 17:36:29
543208.5,5403971,1A,0.09,9/26/2017 17:36:59
543208.5,5403971,1A,0.09,9/26/2017 17:37:29
543208.5,5403971,1A,0.1,9/26/2017 17:37:59
543208.5,5403971,1A,0.1,9/26/2017 17:38:29
543208.5,5403971,1A,0.11,9/26/2017 17:38:59
543208.5,5403971,1A,0.11,9/26/2017 17:39:29
543208.5,5403971,1A,0.1,9/26/2017 17:39:59
543208.5,5403971,1A,0.09,9/26/2017 17:40:29
543208.5,5403971,1A,0.1,9/26/2017 17:40:59
543208.5,5403971,1A,0.1,9/26/2017 17:41:29
543208.5,5403971,1A,0.1,9/26/2017 17:41:59
543208.5,5403971,1A,0.1,9/26/2017 17:42:29
543208.5,5403971,1A,0.11,9/26/2017 17:42:59
543208.5,5403971,1A,0.11,9/26/2017 17:43:29
543208.5,5403971,1A,0.1,9/26/2017 17:43:59
543208.5,5403971,1A,0.1,9/26/2017 17:44:29
543208.5,5403971,1A,0.09,9/26/2017 17:44:59
543208.5,5403971,1A,0.1,9/26/2017 17:45:29
543208.5,5403971,1A,0.09,9/26/2017 17:45:59
543208.5,5403971,1A,0.1,9/26/2017 17:46:29
543208.5,5403971,1A,0.09,9/26/2017 17:46:59
543208.5,5403971,1A,0.1,9/26/2017 17:47:29
543208.5,5403971,1A,0.1,9/26/2017 17:47:59
543208.5,5403971,1A,0.09,9/26/2017 17:48:29
543208.5,5403971,1A,0.11,9/26/2017 17:48:59
543208.5,5403971,1A,0.1,9/26/2017 17:49:29
543208.5,5403971,1A,0.09,9/26/2017 17:49:59
543208.5,5403971,1A,0.1,9/26/2017 17:50:29
543208.5,5403971,1A,0.1,9/26/2017 17:50:59
543208.5,5403971,1A,0.09,9/26/2017 17:51:29
543208.5,5403971,1A,0.09,9/26/2017 17:51:59
543208.5,5403971,1A,0.1,9/26/2017 17:52:29
543208.5,5403971,1A,0.11,9/26/2017 17:52:59
543208.5,5403971,1A,0.1,9/26/2017 17:53:29
543208.5,5403971,1A,0.1,9/26/2017 17:53:59
543208.5,5403971,1A,0.1,9/26/2017 17:54:29
543208.5,5403971,1A,0.09,9/26/2017 17:54:59
543208.5,5403971,1A,0.1,9/26/2017 17:55:29
543208.5,5403971,1A,0.09,9/26/2017 17:55:59
543208.5,5403971,1A,0.08,9/26/2017 17:56:29
543208.5,5403971,1A,0.1,9/26/2017 17:56:59
543208.5,5403971,1A,0.1,9/26/2017 17:57:29
543208.5,5403971,1A,0.1,9/26/2017 17:57:59
543208.5,5403971,1A,0.1,9/26/2017 17:58:29
543208.5,5403971,1A,0.1,9/26/2017 17:58:59
543208.5,5403971,1A,0.09,9/26/2017 17:59:29
543208.5,5403971,1A,0.09,9/26/2017 17:59:59
543208.5,5403971,1A,0.1,9/26/2017 18:0:29
543208.5,5403971,1A,0.08,9/26/2017 18:0:59
543208.5,5403971,1A,0.1,9/26/2017 18:1:29
543208.5,5403971,1A,0.09,9/26/2017 18:1:59
543208.5,5403971,1A,0.09,9/26/2017 18:2:29
543208.5,5403971,1A,0.09,9/26/2017 18:2:59
543208.5,5403971,1A,0.09,9/26/2017 18:3:29
543208.5,5403971,1A,0.1,9/26/2017 18:3:59
543208.5,5403971,1A,0.09,9/26/2017 18:4:29
543208.5,5403971,1A,0.09,9/26/2017 18:4:59
543208.5,5403971,1A,0.1,9/26/2017 18:5:29
543208.5,5403971,1A,0.09,9/26/2017 18:5:59
543208.5,5403971,1A,0.1,9/26/2017 18:6:29
543208.5,5403971,1A,0.11,9/26/2017 18:6:59
543208.5,5403971,1A,0.1,9/26/2017 18:7:29
543208.5,5403971,1A,0.1,9/26/2017 18:7:59
